HRHHID,OCCURNUM,YYYYMM,PEEDUCA,PEMARITL,PESEX,PRTAGE,PRTFAGE,PERACE,GTCMSA,GESTCEN,PTERNWA,PRVEL,PES3,PES4,PES5,PES6,PES7,PWSSWGT,PWORWGT
950190780466,1,199411,31,4,2,83,0,2,-1,63,21474836.47,1,2,2,-9,6,1,2306.9806,0.0000
950190780466,2,199411,39,6,2,25,0,2,-1,63,21474836.47,1,2,1,-9,6,1,3168.9199,0.0000
950190780466,3,199411,-1,-1,1,8,0,2,-1,63,21474836.47,3,-1,-1,-1,-1,-1,2960.7610,0.0000
589076490061,1,199411,37,1,1,48,0,2,-1,63,21474836.47,1,2,1,-9,6,1,2886.1948,0.0000
589076490061,2,199411,39,1,2,45,0,2,-1,63,21474836.47,1,2,2,-9,6,2,2294.0545,0.0000
589076490061,3,199411,37,6,2,20,0,2,-1,63,21474836.47,1,2,1,-9,6,2,3977.5841,0.0000
589076490061,4,199411,35,6,1,18,0,2,-1,63,21474836.47,1,2,2,-9,6,2,3301.9529,0.0000
589076490061,5,199411,-1,-1,1,2,0,2,-1,63,21474836.47,3,-1,-1,-1,-1,-1,4102.1288,0.0000
589076490061,6,199411,-1,-1,1,0,0,2,-1,63,21474836.47,3,-1,-1,-1,-1,-1,3723.1227,0.0000
090748661509,1,199411,32,1,1,55,0,2,-1,63,21474836.47,1,2,2,-9,6,2,2635.4979,0.0000
090748661509,2,199411,33,1,2,65,0,2,-1,63,21474836.47,1,2,2,-9,2,1,2306.9806,0.0000
090748661509,3,199411,31,6,2,31,0,2,-1,63,21474836.47,1,2,2,-9,6,2,3229.7141,0.0000
090748661509,4,199411,33,3,2,78,0,2,-1,63,21474836.47,1,2,-2,-9,2,2,2306.9806,0.0000
090748661509,5,199411,33,3,2,90,1,2,-1,63,21474836.47,1,2,-2,-9,2,2,2306.9806,0.0000
017094566980,1,199411,39,4,2,74,0,2,-1,63,21474836.47,1,1,-9,2,4,1,2306.9806,0.0000
017094566980,2,199411,31,6,2,30,0,2,-1,63,21474836.47,1,2,-2,-9,2,1,3229.7141,0.0000
162853590098,1,199411,-1,-1,2,5,0,2,-1,63,21474836.47,3,-1,-1,-1,-1,-1,1833.8001,7335.2004
162853590098,2,199411,-1,-1,1,3,0,2,-1,63,21474836.47,3,-1,-1,-1,-1,-1,2478.7018,9914.8072
162853590098,3,199411,39,4,2,31,0,2,-1,63,108.00,1,2,1,-9,4,1,2331.4991,9144.4384
162853590098,4,199411,-1,-1,1,12,0,2,-1,63,21474836.47,3,-1,-1,-1,-1,-1,2293.5496,9174.1984
349601190069,1,199411,39,1,1,53,0,1,-1,63,923.07,1,1,-9,4,6,2,2693.2672,10853.7723
349601190069,2,199411,36,1,2,54,0,1,-1,63,21474836.47,1,1,-9,4,6,1,2894.2370,12508.1527
349601190069,3,199411,39,6,1,23,0,1,-1,63,320.00,1,2,1,-9,6,2,3555.7193,14353.9783
349601190069,4,199411,39,6,2,19,0,1,-1,63,127.20,1,2,1,-9,6,2,3065.4616,13224.4456
096014169309,1,199411,39,1,1,32,0,1,-1,63,961.00,2,-9,-9,-9,-9,-9,3026.8953,12304.0467
096014169309,2,199411,39,1,2,29,0,1,-1,63,2.00,2,-9,-9,-9,-9,-9,3100.1276,12249.9692
096014169309,3,199411,-1,-1,2,9,0,1,-1,63,21474836.47,3,-1,-1,-1,-1,-1,2894.0151,11576.0604
930996040216,1,199411,40,4,1,43,0,1,-1,63,21474836.47,1,2,2,-9,2,2,2099.1743,0.0000
930996040216,2,199411,40,4,2,42,0,1,-1,63,21474836.47,1,2,2,-9,2,1,2032.8944,0.0000
005949991630,1,199411,39,1,1,62,0,1,-1,63,461.00,1,1,-9,1,6,2,2616.8891,10534.3939
005949991630,2,199411,39,1,2,59,0,1,-1,63,21474836.47,1,1,-9,1,6,1,3121.2019,12484.2346
005949991630,3,199411,34,3,2,90,1,1,-1,63,21474836.47,1,2,2,-9,6,2,2946.7180,11829.2331
930996040519,1,199411,40,1,1,81,0,1,-1,63,21474836.47,1,1,-9,2,5,1,2722.5119,10865.0561
930996040519,2,199411,40,1,2,78,0,1,-1,63,21474836.47,1,1,-9,2,6,2,2946.7180,11829.2331
349601590099,1,199411,43,1,1,69,0,1,-1,63,0.00,1,1,-9,1,6,1,2687.3378,11053.9735
349601590099,2,199411,39,1,2,53,0,1,-1,63,21474836.47,1,1,-9,1,6,2,2919.7613,11686.3893
349601590099,3,199411,40,6,1,28,0,1,-1,63,942.00,1,1,-9,4,6,2,2931.0429,11914.4156
